Familia,Miembro,Nombre Completo,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Empleador,Área,Medios,Movimientos,Familiares
Familia Balmaceda,Ernesto Balmaceda,,27 de febrero de 1887 Santiago de Chile ( Chile ),,Chilena,Diplomático,,,,,,{}
Familia Balmaceda,José María Balmaceda Fernández,,20 de agosto de 1846,,Chilena,Político,Colegio de los Sagrados Corazones de Santiago Instituto Nacional,,,,,{}
Familia Balmaceda,José Rafael Balmaceda,,"23 de agosto de 1850 Renca , Chile Chile",,chilena,político y diplomático,"Katholieke Universiteit Leuven , Bélgica Bélgica",,,,,"{'José Manuel Balmaceda': '[1] /wiki/Jos%C3%A9_Manuel_Balmaceda', 'José Daniel Balmaceda Fernández': '[2] /wiki/Jos%C3%A9_Daniel_Balmaceda_Fern%C3%A1ndez', 'José Elías Balmaceda': '[3] /wiki/Jos%C3%A9_El%C3%ADas_Balmaceda', 'Emilio Bello Codesido': '[4] /wiki/Emilio_Bello_Codesido'}"
Familia Balmaceda,Manuel Montt Balmaceda,,13 de octubre de 1925,,Chilena,"abogado , diplomático , escritor y rector",Universidad de Chile,,,,,"{'Marta Montt Balmaceda': '[1] /wiki/Marta_Montt_Balmaceda', 'Lorenzo Montt Montt': '[2] /wiki/Lorenzo_Montt_Montt'}"
Familia Balmaceda,Marta Montt Balmaceda,,"1 de enero de 1934 Santiago , Chile",,Chilena,Modelo artístico y modelo,,,,,,{'Manuel Montt Balmaceda': '[1] /wiki/Manuel_Montt_Balmaceda'}
Familia Balmaceda,Gustavo Alessandri Balmaceda,,"8 de marzo de 1961 (64 años) Santiago , Chile","Santiago , Chile",Chilena,Empresario y político,Universidad de California,,,,,{}
Familia Balmaceda,Raúl Marín Balmaceda,,"14 de noviembre de 1907 Santiago , Chile",,Chilena,Abogado y político,Universidad de Chile,,,,,{'José Manuel Balmaceda': '[1] /wiki/Jos%C3%A9_Manuel_Balmaceda'}
Familia Balmaceda,Enrique Balmaceda,,"3 de marzo de 1878 Santiago , Chile",,Chilena,Político y diplomático,,,,,,{}
Familia Barrenechea (Chile),Julio Barrenechea,,"13 de marzo de 1910 Santiago , Chile","Santiago , Chile",Chilena,"Escritor , político y poeta",Liceo de Aplicación,,,,,{}
Familia Barrenechea (Chile),Juan Nicolás de Aguirre Barrenechea,Juan Nicolás de Aguirre Barrenechea,,,Chilena,Político y filántropo,,,,,,{}
Familia Barrenechea (Chile),Miguel Lobos Barrenechea,,10 de febrero de 1984 (41 años),,Chilena,Ajedrecista,,,,,,{}
Familia Barrenechea (Chile),Manuel José Barrenechea,Manuel José Barrenechea Naranjo,23 de septiembre de 1857,,Chilena,"Médico , cirujano y político",Universidad de Chile Instituto Nacional Colegio de los Sagrados Corazones de Santiago,,,,,{}
Familia Benavides (Chile),Gloria Benavides,Gloria Angélica Benavides Nicolás,5 de abril de 1948 (77 años) Loncoche ( Chile ),Ñuñoa,Chilena,"Cantante , actriz y comediante",,,,,,{}
Familia Benavides (Chile),Juan Benavides,,27 de diciembre de 1957 (67 años),"Santiago , Chile",Chilena,Ingeniero comercial y empresario,Universidad Católica de Chile,,,,,{}
Familia Benavides (Chile),César Benavides,César Raúl Benavides Escobar,12 de marzo de 1912 Santiago de Chile ( Chile ),,Chilena,Militar,Escuela Militar del Libertador Bernardo O'Higgins,,Infantería,,,{}
Familia Benavides (Chile),René Benavides,,"30 de diciembre de 1922 Valparaíso , Chile",,Chilena,Empresario y político,,,,,,{}
Familia Bitar,Javier Bitar,Sergio Javier Bitar Hirmas,"16 de octubre de 1965 París, Francia","Santiago , Chile",Chileno,"Ingeniero civil matemático , ejecutivo de empresas , empresario y consultor",Universidad de Chile,Tánica,,,,{}
Familia Bitar,Sergio Bitar,,30 de diciembre de 1940 (84 años) Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,"Ingeniero civil , economista y político",Universidad de Chile,,,,,{}
Familia Bulnes,Luz Granier,,"26 de agosto de 1965 (59 años) Santiago de Chile ,",,Chilena,Ingeniera comercial y política,,,,,,{}
