Familia,Miembro,Nombre Completo,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Empleador,Área,Medios,Movimientos,Familiares
Familia Errázuriz,Carlos Riesco Errazuriz,,"1846 Valparaíso , Chile Chile","Santiago , Chile",,,,,,,,"{'Germán Riesco Errázuriz': '[1] /wiki/Germ%C3%A1n_Riesco', 'Jorge Riesco Errazuriz': '[2] /wiki/Jorge_Riesco_Errazuriz', 'Miguel Riesco y Puente': '[3] /wiki/Miguel_Riesco_y_Puente', 'Federico Errázuriz Zañartu': '[4] /wiki/Federico_Err%C3%A1zuriz_Za%C3%B1artu'}"
Familia Errázuriz,Hernán Felipe Errázuriz,,"1945 (76 años) Santiago , Chile","Santiago , Chile",Chilena,Abogado y político,Universidad Católica de Chile,,,Instituto Libertad y Desarrollo,,{'Hernán Correa Roberts': '[1] /wiki/Hern%C3%A1n_Correa_Roberts'}
Familia Errázuriz,Josefa Errázuriz,,"30 de septiembre de 1952 (72 años) Santiago , Chile","Providencia , Chile",Chilena,Política,,,,,,"{'Octavio Errázuriz Guilisasti': '[1] /wiki/Octavio_Err%C3%A1zuriz', 'Virginia Errázuriz Guilisasti': '[2] /wiki/Virginia_Err%C3%A1zuriz', 'Manuel José Errázuriz Guilisasti': '[3] /w/index.php?title=Manuel_Jos%C3%A9_Err%C3%A1zuriz&action=edit&redlink=1'}"
Familia Errázuriz,Blanca Errázuriz,Blanca Elena Errázuriz Vergara,"9 de abril de 1894 Viña del Mar , Chile",,Chilena,,,,,,,{}
Familia Errázuriz,Crescente Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,Eugenia Huici de Errázuriz,Eugenia Huici Arguedas,"15 de septiembre de 1860 Región de Valparaíso , Chile Chile",,"Boliviana , chilena y francesa",Mecenas,,,,,,{}
Familia Errázuriz,Mauricio Riesco Droguett,,1814,,,Abogado y Agricultor,,,,,,{}
Familia Errázuriz,Isidoro Errázuriz Aldunate,,1782,,Chilena,Político,,,,,,{}
Familia Errázuriz,Fernando Errázuriz Sotomayor,Fernando Errázuriz Sotomayor,"1804 Rancagua , Reino de Chile , Virreinato del Perú , Imperio español",,Chilena,Hacendado y Político,,,,,,{}
Familia Errázuriz,Francisco Javier de Errázuriz Madariaga,Francisco Javier de Errázuriz y Madariaga,"23 de abril de 1744 Santiago , Reino de Chile , Imperio español",,Chilena,"Abogado , comerciante y político",Real Universidad de San Felipe,,,,,{}
Familia Errázuriz,Inversiones Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,Clemente Pérez,José Clemente Pérez Errázuriz,"7 de septiembre de 1967 (57 años) Santiago , Chile","Santiago , Chile",Chilena,"Abogado , académico, empresario , dirigente gremial, consultor y político",Universidad Católica de Chile,,,,,"{'Horacio Walker': '[1] /wiki/Horacio_Walker', 'Hernán Felipe Errázuriz': '[2] /wiki/Hern%C3%A1n_Felipe_Err%C3%A1zuriz'}"
Familia Errázuriz,José Rafael Salas Errázuriz,,5 de noviembre de 1864,,Chilena,Empresario y político,Liceo Gregorio Cordovez Instituto Nacional,,,,,{}
Familia Errázuriz,Juan Ignacio González Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,Viña Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,León Errázuriz,León Errázuriz Prieto,"23 de julio de 1968 (56 años) Santiago , Chile",,Chilena,"Director, productor, guionista, montajista",Pontificia Universidad Católica de Chile Universidad Nacional Autónoma de México,,,,,{}
Familia Errázuriz,Jorge Riesco Errázuriz,,"21 de abril de 1852 Valparaíso , Chile Chile","Valparaíso , Chile",Chilena,Funcionario y político,Universidad de Chile Instituto Nacional Colegio San Ignacio,,,,,"{'Germán Riesco': '[1] /wiki/Germ%C3%A1n_Riesco', 'Federico Errazuriz Zañartu': '[2] /wiki/Federico_Errazuriz_Za%C3%B1artu'}"
Familia Errázuriz,Luis Subercaseaux,Luis Subercaseaux Errázuriz,10 de mayo de 1882 Santiago de Chile ( Chile ),,Chilena,"Futbolista, atleta y diplomático",,,Diplomático,,,{}
Familia Errázuriz,Paz Errázuriz,Paz Errázuriz Körner,"2 de febrero de 1944 (81 años) Santiago , Chile",,Chilena,Fotógrafa y profesora,,,Fotografía y activismo,,,{}
Familia Errázuriz,Francisco Javier Correa Errázuriz,Francisco Javier Bonifacio Hermogenes Correa Errazuriz,10 de diciembre de 1870 Santiago de Chile ( Chile ),,Chilena,Abogado,Colegio San Ignacio Universidad Católica  de Chile,,,,,{}
Familia Errázuriz,Avenida Lo Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,Francisco Javier Errázuriz Talavera,,"7 de mayo de 1942 Santiago , Chile","Las Condes , Chile",Chilena,"Ingeniero , empresario y político",Universidad Católica de Chile,,,,,{}
Familia Errázuriz,Elías Errázuriz Larraín,,"15 de junio de 1884 Santiago , Chile",,Chilena,Abogado y político,Universidad de Chile Universidad Católica de Chile,,,,,"{'Gustavo Errázuriz Larraín': '[1] /wiki/Gustavo_Err%C3%A1zuriz_Larra%C3%ADn', 'Federico Errázuriz Echaurren': '[2] /wiki/Federico_Err%C3%A1zuriz_Echaurren'}"
Familia Errázuriz,Isidoro Errázuriz,,12 de abril de 1835 Santiago de Chile ( Chile ),,Chilena,Periodista y político,Universidad de Gotinga,,,,,{}
Familia Errázuriz,María Errázuriz,María Errázuriz Echaurren,1861 Chile,,Chilena,Política,,,,,,"{'Federico Errázuriz Echaurren': '[1] /wiki/Federico_Err%C3%A1zuriz_Echaurren', 'Ladislao Errázuriz Echaurren': '[2] /wiki/Ladislao_Err%C3%A1zuriz_Echaurren', 'Rafael Errázuriz Echaurren': '[3] /wiki/Rafael_Err%C3%A1zuriz_Echaurren'}"
Familia Errázuriz,Francisco Tomic,,6 de diciembre de 1958 (66 años),"Santiago , Chile",Chilena,"Economista , ingeniero , investigador, dirigente gremial y empresario",Universidad de Sussex,,,,,"{'Blas Tomic': '[1] /wiki/Blas_Tomic', 'Esteban Tomic': '[2] /wiki/Esteban_Tomic'}"
Familia Errázuriz,Virginia Errázuriz,María Virginia Errázuriz Guilisasti,1941 Santiago de Chile ( Chile ),,Chilena,Artista visual,,,,,,"{'Octavio Errázuriz Guilisasti': '[1] /wiki/Octavio_Err%C3%A1zuriz', 'Josefa Errázuriz Guilisasti': '[2] /wiki/Josefa_Err%C3%A1zuriz'}"
Familia Errázuriz,Rafael Larraín,,16 de febrero de 1915,,Chilena,Sacerdote,Colegio San Ignacio,,,,,{}
Familia Errázuriz,Gustavo Errázuriz Larraín,,"15 de junio de 1884 Santiago , Chile",,Chilena,"Ingeniero agrónomo , agricultor y político",Universidad Católica de Chile,,,,,"{'Elías Errázuriz Larraín': '[1] /wiki/El%C3%ADas_Err%C3%A1zuriz_Larra%C3%ADn', 'Federico Errázuriz Echaurren': '[2] /wiki/Federico_Err%C3%A1zuriz_Echaurren'}"
Familia Errázuriz,Francisco Javier Errázuriz Sotomayor,,"1802 Rancagua , Reino de Chile",,Chilena,Hacendado,,,,,,{}
Familia Errázuriz,Manuel Larraín Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,Javier Ovalle Errázuriz,,"15 de febrero de 1798 Santiago de Chile , Chile",,Chilena,Diplomático,Instituto Nacional,,,,,{}
Familia Errázuriz,Domingo de Errázuriz Madariaga,Domingo de Errázuriz y Madariaga,1754 Santiago Capitanía General de Chile,,Chilena,Abogado y sacerdote,Real Universidad de San Felipe,,,,,{}
Familia Errázuriz,Silvestre Ochagavía Errázuriz,,"1820 Santiago , Chile",,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Errázuriz,Francisco Javier Errázuriz Larraín,,"3 de febrero de 1711 Aranaz , Navarra , España",,Chilena y española,Comerciante y político,,,,,,{}
Familia Errázuriz,Ladislao Errázuriz Pereira,,"12 de febrero de 1909 Chile , Chile",,chilena,"Abogado , político",Pontificia Universidad Católica de Chile,,,,,{}
Familia Errázuriz,Alejandro Errázuriz Mackenna,,"15 de octubre de 1888 Santiago , Chile",,Chilena,Abogado y político,Universidad de Chile,,,,,"{'Manuel Covarrubias Ortúzar': '[1] /wiki/Manuel_Covarrubias_Ort%C3%BAzar', 'Sergio Ossa Pretot': '[2] /wiki/Sergio_Ossa_Pretot'}"
Familia Errázuriz,Jorge Errázuriz,,"21 de octubre de 1870 Chile Chile , Rancagua",,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Errázuriz,Luis Barriga Errázuriz,,"22 de enero de 1895 Santiago , Chile",,Chilena,Abogado y político,Universidad Católica de Chile,,,Colegio de Abogados de Chile,,"{'Francisco Javier Errázuriz Sotomayor': '[1] /wiki/Francisco_Javier_Err%C3%A1zuriz_Sotomayor', 'Fernando Errázuriz Aldunate': '[2] /wiki/Fernando_Err%C3%A1zuriz_Aldunate'}"
Familia Errázuriz,Santiago de Errázuriz Madariaga,Santiago de Errázuriz y Madariaga,1755 Santiago Capitanía General de Chile,,Chilena,"Abogado , Comerciante , Agricultor y Político",Real Universidad de San Felipe,,,,,{}
Familia Errázuriz,Octavio Errázuriz,,"30 de diciembre de 1942 (82 años) Santiago , Chile",,Chilena,Abogado,Universidad de Chile,,,,,"{'Josefa Errázuriz': '[1] /wiki/Josefa_Err%C3%A1zuriz', 'Virginia Errázuriz': '[2] /wiki/Virginia_Err%C3%A1zuriz'}"
Familia Errázuriz,Dositeo Errázuriz Zañartu,,Febrero de 1828,,Chilena,Abogado,Universidad de Chile,,,,,{}
Familia Errázuriz,Rafael Errázuriz Urmeneta,,10 de agosto de 1861 Santiago de Chile ( Chile ),,Chilena,Diplomático y político,Universidad de Chile Instituto Nacional,,,,,{}
Familia Errázuriz,Ladislao Errázuriz Echaurren,Ladislao Errázuriz Echaurren,"26 de junio de 1856 Santiago , Chile",,Chilena,Agricultor y político,,,,,,"{'Federico Errázuriz Echaurren': '[1] /wiki/Federico_Err%C3%A1zuriz_Echaurren', 'Rafael Errázuriz Echaurren': '[2] /wiki/Rafael_Err%C3%A1zuriz_Echaurren', 'María Errázuriz Echaurren': '[3] /wiki/Mar%C3%ADa_Err%C3%A1zuriz_Echaurren'}"
Familia Errázuriz,Ignacio Errázuriz Salas,,"1825 Santiago , Chile Chile",,Chilena,Abogado,,,,,,{}
Familia Errázuriz,Federico Errázuriz Zañartu,Federico Marcos del Rosario Errázuriz Zañartu,"25 de abril de 1825 Santiago , Chile Chile",,Chilena,Político y abogado,Universidad de Chile,,,,,{}
Familia Errázuriz,Juan Eduardo Errázuriz,,25 de julio de 1943 (81 años),"Santiago , Chile",Chilena,"Ingeniero civil , empresario y dirigente gremial",Universidad Católica de Chile,,,,,"{'Francisco Javier Errázuriz Ossa': '[1] /wiki/Francisco_Javier_Err%C3%A1zuriz_Ossa', 'Pedro Pablo Errázuriz': '[2] /wiki/Pedro_Pablo_Err%C3%A1zuriz'}"
Familia Errázuriz,José Antonio de Errázuriz Madariaga,José Antonio de Errázuriz y Madariaga,14 de septiembre de 1747 Santiago Capitanía General de Chile,,Chilena,"Sacerdote , Rector y Senador",Real Universidad de San Felipe,,,,,{}
Familia Errázuriz,Nicolas Laso Errazuriz,,"Santiago , Chile","Valparaíso , Chile",,,,,,,,{}
Familia Errázuriz,Ramón Errázuriz,,23 de mayo de 1785 Santiago de Chile ( Capitanía General de Chile ),,Chilena,Abogado,Instituto Nacional,,,,,{}
Familia Errázuriz,Isidoro de Errázuriz,Isidoro De Errázuriz Aldunate,"1782 Santiago , Reino de Chile , Imperio español",,Chilena,Político,,,,,,"{'Fernando': '[1] /wiki/Fernando_Err%C3%A1zuriz_Aldunate', 'Ramón': '[2] /wiki/Ram%C3%B3n_Err%C3%A1zuriz', 'Francisco Javier Errázuriz Larraín': '[3] /wiki/Francisco_Javier_Err%C3%A1zuriz_Larra%C3%ADn', 'José Ignacio Errázuriz Salas': '[4] /wiki/Ignacio_Err%C3%A1zuriz_Salas', 'José Agustín Errázuriz Salas': '[5] /w/index.php?title=Jos%C3%A9_Agust%C3%ADn_Err%C3%A1zuriz_Salas&action=edit&redlink=1'}"
Familia Errázuriz,Juan Alfonso Chadwick Errázuriz,,1 de marzo de 1914 Santiago de Chile ( Chile ),,Chilena,"Empresario , polista y emprendedor",Pontificia Universidad Católica de Chile,,,,,{}
Familia Errázuriz,Familia Errázuriz,,,,,,,,,,,{}
Familia Errázuriz,Ladislao Errázuriz Lazcano,,"1882 Santiago , Chile",,Chilena,"Abogado , Diputado , Senador",Universidad de Chile Colegio San Ignacio Colegio de los Sagrados Corazones de Santiago,,,,,{}
Familia Errázuriz,Germán Ignacio Riesco,,30 de julio de 1888,,Chilena,"Diplomático , abogado y político",Universidad de Chile,,,,,{}
Familia Errázuriz,Pedro Subercaseaux,Pedro León Maximiano María Subercaseaux Errázuriz,10 de diciembre de 1880 Roma ( Reino de Italia ),,Chilena,"Pintor , ilustrador y monje (1925-1956)",Real Academia Superior de Arte de Berlín Academia Julián,,,,,{}
Familia Errázuriz,Pedro Pablo Errázuriz,,29 de marzo de 1961 (64 años) Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,"Ingeniero civil , investigador , empresario y político",Universidad Católica de Chile,,,,,{}
Familia Errázuriz,Rodrigo Errázuriz,,Siglo XX,"Santiago , Chile",Chilena,Ingeniero civil,Universidad Católica de Chile,,,,,{}
Familia Errázuriz,Maximiano Errázuriz Valdivieso,,"21 de febrero de 1832 Chile Chile , Santiago",,Chilena,Agrimensor,Universidad de Chile,,,,,{}
Familia Errázuriz,Guillermo Arthur,,"11 de mayo de 1948 (76 años) Santiago , Chile","Santiago , Chile",Chilena,Abogado y político,Universidad de Chile,,,,,{}
Familia Errázuriz,Alfredo Barros Errázuriz,,"11 de mayo de 1875 Santiago , Chile","Santiago , Chile",Chilena,Jurista y político,Universidad Católica de Chile,,,,,{}
Familia Errázuriz,Jaime Guzmán,,"28 de junio de 1946 Santiago , Chile",,Chilena,Abogado y político,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,,,,{'Francisco Moreno Guzmán': '[1] /wiki/Francisco_Moreno_Guzm%C3%A1n'}
Familia Errázuriz,Rafael Errázuriz Echaurren,,"23 de octubre de 1866 Santiago , Chile",,Chilena,Agricultor y político,Colegio San Ignacio,,,,,"{'Federico Errázuriz Echaurren': '[1] /wiki/Federico_Err%C3%A1zuriz_Echaurren', 'Ladislao Errázuriz Echaurren': '[2] /wiki/Ladislao_Err%C3%A1zuriz_Echaurren', 'María Errázuriz Echaurren': '[3] /wiki/Mar%C3%ADa_Err%C3%A1zuriz_Echaurren'}"
Familia Etcheberry,Gonzalo Winter,Gonzalo Rodolfo Winter Etcheberry,6 de enero de 1987 (38 años) Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,Abogado y político,Universidad de Chile,,Derecho y política,,,{'Alfredo Etcheberry': '[1] /wiki/Alfredo_Etcheberry'}
Familia Etcheberry,María Elena Etcheberry,,12 de septiembre de 1958 (66 años),,Chilena,Abogada y empresaria,,,,,,{}
Familia Etcheberry,Alfredo Etcheberry,Luis Alfredo Etcheberry Orthusteguy,"17 de diciembre de 1931 Concepción , Chile",Santiago de Chile,Chilena,Abogado y profesor universitario,Universidad de Chile Universidad de Columbia,,,,,{'Gonzalo Winter': '[1] /wiki/Gonzalo_Winter'}
Familia Etcheberry,Javier Etcheberry,,14 de marzo de 1947 (78 años) Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,"Ingeniero civil , empresario , académico , investigador , consultor y político",Universidad de Chile,,,,,"{'Felipe Kast': '[1] /wiki/Felipe_Kast', 'Andrés Iacobelli del Río': '[2] /wiki/Andr%C3%A9s_Iacobelli_del_R%C3%ADo'}"
Familia Iommi,Godofredo Iommi,Godofredo Iommi Marini,"1917 Buenos Aires , Argentina",,Argentina,"Poeta, Profesor",Universidad de Buenos Aires,Pontificia Universidad Católica de Valparaíso,,,,{'Virginia Iommi': '[1] /wiki/Virginia_Iommi'}
Familia Iommi,Virginia Iommi,,"Viña del Mar , Chile",,Chilena,,Pontificia Universidad Católica de Valparaíso,,,,,{'Godofredo Iommi': '[1] /wiki/Godofredo_Iommi'}
Familia Feliú,Manuel Feliú,Manuel Feliú Justiniano,"6 de noviembre de 1932 (92 años) Santiago , Chile","Calera de Tango y Santiago , Chile",Chilena,"Abogado , académico, empresario y dirigente gremial",Universidad de Chile,,,,,{}
Familia Feliú,Juan Benavides,,27 de diciembre de 1957 (67 años),"Santiago , Chile",Chilena,Ingeniero comercial y empresario,Universidad Católica de Chile,,,,,{}
Familia Feliú,Olga Feliú,Olga Feliú Segovia,20 de agosto de 1932 Santiago de Chile ( Chile ),,Chilena,Abogada y política,,,,Colegio de Abogados de Chile,,{}
Familia Feliú,Gonzalo Lama,,,,,,,,,,,{}
Familia Fontaine,Arturo Fontaine Talavera,,9 de mayo de 1952 (72 años) Santiago de Chile ( Chile ),,Chilena,"Poeta , novelista , ensayista y filósofo",Universidad de Chile Pontificia Universidad Católica de Chile Universidad de Columbia ( M.A. y MPhil ) Colegio de los Sagrados Corazones de Manquehue‎,,,,,{}
Familia Fontaine,Jorge Fontaine,,"1 de octubre de 1923 Viña del Mar , Chile","Santiago , Chile",Chilena,"Empresario , dirigente gremial y político",Colegio de los Sagrados Corazones de Viña Del Mar Colegio de los Sagrados Corazones de Santiago,,,,,{'Arturo Fontaine Aldunate': '[1] /wiki/Arturo_Fontaine_Aldunate'}
Familia Fontaine,Arturo Fontaine Aldunate,,"31 de agosto de 1921 Viña del Mar , Chile","Santiago , Chile",Chilena,"Abogado , periodista , académico , investigador , ensayista y político",Universidad de Chile Colegio de los Sagrados Corazones de Santiago Colegio de los Sagrados Corazones de Viña Del Mar,Jorge Prat (1954-1958) El Mercurio (1963-1982) El Diario Ilustrado (hasta 1963),,Asociación Nacional de Estudiantes Católicos Centro de Estudios Públicos,,{'Jorge Fontaine Aldunate': '[1] /wiki/Jorge_Fontaine'}
Familia Fontaine,Ernesto Fontaine,Ernesto Ricardo Fontaine Ferreira-Nobriga,"12 de septiembre de 1934 Valparaíso , Chile",,Chileno,"Economista , académico, investigador y consultor",Universidad Católica de Chile,,,,,{}
Familia Fontaine,Juan Andrés Fontaine,,"21 de mayo de 1954 (70 años) Santiago , Chile","Santiago , Chile",Chilena,"Economista , académico , investigador , consultor y político",Universidad Católica de Chile,Universidad de California en Los Ángeles Universidad de Chile,,Chile Vamos,,{}
Familia Fontbona,Rodrigo Terré,,11 de abril de 1965 (59 años),"Santiago , Chile",Chileno,"Ingeniero civil , empresario y consultor",Universidad de Chile,Andrónico Luksic Craig,,,,{'Iris Fontbona': '[1] /wiki/Iris_Fontbona'}
Familia Fontbona,Jean-Paul Luksić,,31 de mayo de 1964 (60 años),"Santiago , Chile",Chilena,"Administrador de empresas , empresario y dirigente gremial",Escuela de Economía y Ciencia Política de Londres,,,,,"{'Andrónico Luksic Craig': '[1] /wiki/Andr%C3%B3nico_Luksic_Craig', 'Guillermo Luksic Craig': '[2] /wiki/Guillermo_Luksic_Craig'}"
Familia Freire,Liborio Ramón Freire Caldera,,1829 Santiago de Chile ( Chile ),,Chilena,,,,,,,{}
Familia Freire,Zenón Freire Caldera,,"16 de junio de 1827 Santiago , Chile Chile",,Chilena,Agricultor y político,,Casa de Moneda de Chile,,,,{}
Familia Freire,Francisco Freire Caldera,,"1839 Santiago , Chile","Santiago , Chile",Chilena,"Abogado , político y agricultor",Universidad de Chile,,,Club Hípico de Santiago,,"{'Liborio Ramón': '[1] /wiki/Liborio_Ram%C3%B3n_Freire_Caldera', 'Zenón Freire Caldera': '[2] /wiki/Zen%C3%B3n_Freire_Caldera'}"
Familia Freire,Nicolás Freire,Nicolás Freire González,"10 de septiembre de 1808 Lima , Virreinato del Perú",,Peruana,Militar,,,,,,{}
Familia Freire,Francisco Vial Freire,,"7 de febrero de 1899 Santiago , Chile Chile",,Chilena,Político,Colegio de los Sagrados Corazones de Santiago,,,,,{'Ramón Freire Serrano': '[1] /wiki/Ram%C3%B3n_Freire'}
Familia Freire,Juan de Dios Rivera y Freire de Andrade,,1787 Concepción ( Chile ),,Chilena,Militar y político,,,,,,{}
Familia Freire,Sergio Freire,Sergio Orlando Freire Díaz,"3 de octubre de 1980 (44 años) Maipú , Chile",,Chilena,"actor, comediante, guionista",,,,,,{}
Familia Freire,Ramón Freire,Ramón Saturnino Andrés Freire y Serrano,"29 de noviembre de 1787 Santiago , Capitanía General de Chile",Santiago y Concepción,Chilena,Militar y político,,,Caballería,,,"{'Nicolás Freire González': '[1] /wiki/Nicol%C3%A1s_Freire_Gonz%C3%A1lez', 'Ramón Freire Goytizolo': '[2] /wiki/Ram%C3%B3n_Freire_Goytizolo'}"
Familia Freire,Ramón Freire (marino),,"1849 Lima , Perú Perú",,Peruana,Oficial naval,,,,,,{'Ramón Freire Serrano': '[1] /wiki/Ram%C3%B3n_Freire'}
Familia Freire,Fernando Freire García de la Huerta,,1872 Santiago de Chile ( Chile ),,Chilena,Abogado,Universidad de Chile Colegio de los Sagrados Corazones de Santiago,,,,,{}
Familia Galilea,Sergio Galilea,,20 de mayo de 1948 (76 años) Puerto Montt ( Chile ),"Santiago , Chile",Chilena,Ingeniero y político,Universidad de Chile Pontificia Universidad Católica de Chile,,,,,{}
Familia Galilea,Cristián Labbé Galilea,,"14 de octubre de 1948 (76 años) Santiago , Chile","Providencia , Chile",Chilena,Político y militar,Escuela Militar del Libertador Bernardo O'Higgins ( Coronel ) Academia de Guerra del Ejército de Chile ( Pedagogía en Geopolítica ) Universidad Católica de América ( M.A. en Filosofía política ) Universidad Adolfo Ibáñez ( Postítulo en Mercadotecnia ),Dirección de Inteligencia Nacional,,,,{}
Familia Galilea,José Antonio Galilea,,"19 de noviembre de 1961 (63 años) Santiago , Chile","Victoria / Santiago , Chile",Chilena,"Técnico agrícola , empresario , consultor y político",Instituto Nacional de Capacitación Profesional,,,Televisión Nacional de Chile (2008-2010),,{}
Familia Galilea,Rodrigo Galilea,,3 de noviembre de 1966 (58 años) Santiago de Chile ( Chile ),"Talca , Chile",Chilena,"Abogado , empresario y político",Pontificia Universidad Católica de Chile,,,,,{}
Familia Galleguillos,Antonio Gutiérrez y Galleguillos,,1770,,Chilena,Político,,,,,,{}
Familia Galleguillos,Víctor Galleguillos Clett,,"1919 Antofagasta , Chile",,Chilena,Obrero,,,,,,{}
Familia Galleguillos,Antonio Gómez de Galleguillos,,,,,,,,,,,{}
Familia Galleguillos,Carlos Galleguillos Barraza,,29 de agosto de 1925,,Chilena,Profesor Básico,,,,,,{}
Familia Galleguillos,Cristian Galleguillos,,"4 de diciembre de 1962 (62 años) Coquimbo , Chile","Coquimbo , Chile",Chilena,Médico,Universidad de Concepción,,,,,{}
Familia Galleguillos,Micaela Campos y Gaviño,,28 de noviembre de 1796 La Serena ( Chile ),,Chilena,,,,,,,{}
Familia Galleguillos,Casa Carmona,,,,,,,,,,,{}
Familia Galleguillos,Familia Galleguillos,,,,,,,,,,,{}
Familia Galleguillos,Juan Antonio de Galleguillos y Riberos de Castilla,,,,,,,,,,,{}
Familia Galleguillos,Hacienda Pachingo,,,,,,,,,,,{}
Familia Galleguillos,Juan Antonio de Galleguillos y Corbalán-Castilla,,,,,,,,,,,{}
Familia Galleguillos,Juan Antonio de Galleguillos y Godoy,,,,,,,,,,,{}
Familia Galleguillos,Álvaro de Galleguillos y Riberos de Castilla,,,,,,,,,,,{}
Familia Gandarillas,José Patricio Larraín Gandarillas,,"1817 Chile Chile , Santiago",,Chilena,"Apicultor , abogado , agricultor , diplomático y político",Instituto Nacional,,,,,{}
Familia Gandarillas,Manuel José Gandarillas,Manuel José Gandarillas Guzmán,1789,,Chilena,Político,Real Universidad de San Felipe,,,,,{}
Familia Gandarillas,Joaquín Gandarillas Romero,Joaquín Gandarillas Romero,"Siglo XVII Santiago , ( Imperio español )",,Chilena,abogado y político,Real Universidad de San Felipe,,,,,{}
Familia Gandarillas,Evaristo Gandarillas Gandarillas,,"1816 Santiago , Chile Chile",,Chilena,abogado y político,Instituto Nacional General José Miguel Carrera,,,,,{}
Familia Gandarillas,José Antonio Gandarillas Luco,,"1839 Santiago , Chile Chile",,Chilena,"Político , abogado y juez",Universidad de Chile Instituto Nacional Colegio de los Sagrados Corazones de Santiago,,Abogado,,,{}
Familia Gandarillas,Juan de la Cruz Gandarillas Guzmán,,"1793 Santiago , Reino de Chile , ( Imperio español )",,Chilena,Hacendado,,,,,,{}
Familia Gandarillas,Joaquín Larraín Gandarillas,,,,,,,,,,,{}
Familia García-Huidobro,Carlos Eugenio Lavín,,"19 de abril de 1942 (82 años) Santiago de Chile , Chile Chile","Santiago , Chile",Chilena,Ingeniero comercial y empresario,Universidad Católica de Chile,,,,,{}
Familia García-Huidobro,Francisco García Huidobro,,,,,,,,,,,{}
Familia García-Huidobro,Eulogia Echaurren,,"1 de enero de 1830 Santiago , Chile Chile",,Chilena,Política,,,,,,{'Germán Riesco': '[1] /wiki/Germ%C3%A1n_Riesco'}
Familia García-Huidobro,Alejandro Huneeus García-Huidobro,,"1874 Santiago , Chile",,Chileno,Político y abogado,Pontificia Universidad Católica de Chile,,,,,{}
Familia García-Huidobro,Ramón García Huidobro,,"1811 Santiago de Chile , Chile",,Chilena,Hacendado,,,,,,{}
Familia García-Huidobro,Vicente Huidobro,Vicente García-Huidobro Fernández,"10 de enero de 1893 Santiago , Chile",,Chilena,"Poeta , escritor , periodista y dramaturgo",Instituto Pedagógico Colegio San Ignacio,,,Francmasonería [ 3 ] ​,,"{'Francisco García Huidobro': '[1] /wiki/Francisco_Garc%C3%ADa_Huidobro', 'Miguel Serrano Fernández': '[2] /wiki/Miguel_Serrano_Fern%C3%A1ndez'}"
Familia García-Huidobro,Alejandro García-Huidobro,,"19 de abril de 1952 (72 años) Santiago , Chile",,Chilena,Político,Universidad de Chile,,,,,{}
Familia García-Huidobro,Martín Arrau,Carlos Martín Arrau García-Huidobro,6 de marzo de 1979 (46 años) Las Condes ( Chile ),"Chillán , Chile",Chilena,Político e ingeniero,Pontificia Universidad Católica de Chile,,,,,{}
Familia García-Huidobro,Francisco García-Huidobro Eyzaguirre,,"10 de octubre de 1831 Santiago , Chile",,Chilena,Capitán,Escuela Militar,,,,,{}
Familia García-Huidobro,Verónica García-Huidobro,María Verónica García-Huidobro,1960,,Chilena,Actriz,,,,,,{}
Familia García-Huidobro,Francisco de Borja García-Huidobro,,"10 de octubre de 1936 (88 años) Santiago , Chile Chile",,Chilena,Arquitecto y pintor,Pontificia Universidad Católica de Chile,,,Academia de Arquitectura,,{}
Familia García-Huidobro,Andrea García-Huidobro,,"13 de septiembre de 1984 (40 años) Santiago , Chile",,Chilena,Actriz y directora de teatro,,,,,,{}
Familia García-Huidobro,Jorge Lesser,Jorge Adolfo Lesser García-Huidobro,Siglo XX,"Santiago , Chile",Chileno,"Ingeniero civil , consultor y empresario",Universidad de Chile,,,,,{}
Familia García-Huidobro,Luis García Huidobro Aldunate,,"02 de octubre de 1812 Paine , Chile",,Chilena,Hacendado,,,,,,{}
Familia García-Huidobro,Cristián García-Huidobro,Cristian Mario García-Huidobro Lira,27 de mayo de 1952 (72 años) Santiago de Chile ( Chile ),,Chilena,Actor,Universidad de Chile ( Actuación ; 1972-1973),,,,,{}
Familia García-Huidobro,Francisca García-Huidobro,Francisca García-Huidobro Herman,"4 de noviembre de 1973 (51 años) Madrid , España",,Chilena,Actriz y presentadora de televisión,,,,,,{}
Familia García-Huidobro,Francisco Echaurren,Francisco de Paula de la Santísima Trinidad Hilarión Rafael José Ramón de los Dolores Echaurren Garcia-Huidobro [ 1 ] ​,"21 de octubre de 1824 Santiago , Chile Chile",,Chilena,político,,,,,,{}
Familia García-Huidobro,Julio Zegers García-Huidobro,,"14 de enero de 1861 Santiago , Chile",,Chilena,Abogado,Universidad de Chile,,,,,{}
