Nombre,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Trabajos previos,Área,Partido político,Familia,URL
Isabel Allende,2 de agosto de 1942  (82 años)Lima (Perú),,Chilena Estadounidense[2]​,Novelista; ,Liceo Nº 1 Javiera Carrera,,,Partido Demócrata; ,; [1]; Paula (https://es.wikipedia.org/wiki/Paula_Fr%C3%ADas_Allende); Salvador Allende (https://es.wikipedia.org/wiki/Salvador_Allende); ,https://es.wikipedia.org/wiki/Isabel_Allende
Paula Frías Allende,22 de octubre de 1963Santiago de Chile,,chilena,Psicóloga; ,,,,,Familia Allende; ; Isabel Allende (https://es.wikipedia.org/wiki/Isabel_Allende); ; ,https://es.wikipedia.org/wiki/Paula_Fr%C3%ADas_Allende
Ramón Allende,"19 de marzo de 1845 Valparaíso, Chile",,Chilena,"Médico; ,; cirujano; ,; político; ",Universidad de Chile; Instituto Nacional; Liceo Eduardo de la Barra de Valparaíso,; Gran Maestro de la Gran Logia de Chile – 1884-1884; ; Senador de la República de Chile; Atacama – 1882-14 de octubre de 1884; ; Diputado de la República de Chile; Copiapó; Chañaral; Freirina – 1879-1882; ; Diputado de la República de Chile; Santiago – 1876-1879; ,,Radical,Familia Allende; ; ; Salvador Allende Castro (https://es.wikipedia.org/wiki/Salvador_Allende_Castro); ; Salvador Allende (https://es.wikipedia.org/wiki/Salvador_Allende); Isabel Allende (https://es.wikipedia.org/wiki/Isabel_Allende_Bussi); Maya Fernández (https://es.wikipedia.org/wiki/Maya_Fern%C3%A1ndez); ,https://es.wikipedia.org/wiki/Ram%C3%B3n_Allende_Pad%C3%ADn
Andrés Pascal Allende,12 de julio de 1943  (81 años)Santiago de Chile (Chile),,Chilena,"Político; ,; sociólogo; y; guerrillero; ",Pontificia Universidad Católica de Chile; Saint George's College,; Secretario general; Movimiento de Izquierda Revolucionaria – 1974-1985; ,,Partido Socialista de Chile; Movimiento de Izquierda Revolucionaria; ,Laura Allende Gossens (https://es.wikipedia.org/wiki/Laura_Allende_Gossens); Carmen Castillo Echeverría (https://es.wikipedia.org/wiki/Carmen_Castillo_(cineasta)); segundas nupcias (https://es.wikipedia.org/wiki/Segundas_nupcias); terceras nupcias; ; Salvador Allende (https://es.wikipedia.org/wiki/Salvador_Allende); Pedro Pascal (https://es.wikipedia.org/wiki/Pedro_Pascal); ,https://es.wikipedia.org/wiki/Andrés_Pascal_Allende
Pedro Pascal,2 de abril de 1975 (50 años)Santiago de Chile (Chile),Nueva York (Estados Unidos),Chilena,"Actor; ,; actor de voz; y; director de escena; ",New York University Tisch School of the Arts; Universidad de Nueva York; Actuación,,,,Familia Allende; ; Lux Pascal (https://es.wikipedia.org/wiki/Lux_Pascal); Javiera Balmaceda (https://es.wikipedia.org/wiki/Javiera_Balmaceda); ,https://es.wikipedia.org/wiki/Pedro_Pascal
Lux Pascal,"4 de junio de 1992 (32 años)Condado de Orange, California, Estados Unidos",,Chilena y estadounidense,Actriz; ,Saint George's College; Pontificia Universidad Católica de Chile; Lic.; Actuación; Escuela Juilliard; Maestría,,,,Familia Balmaceda; Familia Allende; ; Pedro Pascal (https://es.wikipedia.org/wiki/Pedro_Pascal); Javiera Balmaceda (https://es.wikipedia.org/wiki/Javiera_Balmaceda); ,https://es.wikipedia.org/wiki/Lux_Pascal
Javiera Balmaceda,1972 Chile,,Chilena y estadounidense,Productora de cine; ,,,,,; ; Pedro Pascal (https://es.wikipedia.org/wiki/Pedro_Pascal); Lux Pascal (https://es.wikipedia.org/wiki/Lux_Pascal); ,https://es.wikipedia.org/wiki/Javiera_Balmaceda
José Manuel Balmaceda,"19 de julio de 1840Hacienda Bucalemu, Departamento de Melipilla, Chile","Santiago y Valparaíso, Chile",Chilena,"Político; ,; periodista; y; abogado; ",Colegio de los Padres Franceses; ; Instituto Nacional General José Miguel Carrera,; Presidente de la República de Chile – 18 de septiembre de 1886-29 de agosto de 1891; ; Senador de la República de Chile; Coquimbo – 1 de junio de 1885-18 de septiembre de 1886; ; Ministro del Interior de Chile – 12 de abril de 1882-3 de septiembre de 1885; ; Ministro de Relaciones Exteriores de Chile – 18 de septiembre de 1881-12 de abril de 1882; ; Diputado de la República de Chile; Carelmapu – 1 de junio de 1870-1 de junio de 1882; ,,; Partido Liberal,Manuel de Balmaceda Ballesteros (https://es.wikipedia.org/wiki/Manuel_de_Balmaceda_Ballesteros); Emilia de Toro Herrera (https://es.wikipedia.org/wiki/Emilia_de_Toro_Herrera); Pedro (https://es.wikipedia.org/wiki/Pedro_Balmaceda); Enrique (https://es.wikipedia.org/wiki/Enrique_Balmaceda_Toro); Tomás Jocelyn-Holt (https://es.wikipedia.org/wiki/Tom%C3%A1s_Jocelyn-Holt); Raúl Marín Balmaceda (https://es.wikipedia.org/wiki/Ra%C3%BAl_Mar%C3%ADn_Balmaceda); ,https://es.wikipedia.org/wiki/José_Manuel_Balmaceda
Manuel de Balmaceda Ballesteros,"1803Santiago, Capitanía General de Chile",,Chilena,Hacendado; ,,; Senador de la República de Chile; Santiago – 1858-1864; ,,Liberal,; José Manuel  (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda_Fern%C3%A1ndez); José María (https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Balmaceda_Fern%C3%A1ndez); José Rafael (https://es.wikipedia.org/wiki/Jos%C3%A9_Rafael_Balmaceda); José Elías (https://es.wikipedia.org/wiki/Jos%C3%A9_El%C3%ADas_Balmaceda); ,https://es.wikipedia.org/wiki/Manuel_de_Balmaceda_Ballesteros
José María Balmaceda Fernández,20 de agosto de 1846,,Chilena,Político; Senador de Chile; ,Colegio de los Sagrados Corazones de Santiago; Instituto Nacional,,,,Carlos Balmaceda Saavedra (https://es.wikipedia.org/wiki/Carlos_Balmaceda_Saavedra); ; ,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Balmaceda_Fern%C3%A1ndez
