Nombre,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Trabajos previos,Área,Partido político,Familia,URL
Enriqueta Pinto,"1817Tucumán,  Provincias Unidas del Río de la Plata",,Chilena,Ama de casa; ,,; Primera dama de Chile – 18 de septiembre de 1841-18 de septiembre de 1851; ,,,Francisco Antonio Pinto (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto); ; Luisa Garmendia Alurralde (https://es.wikipedia.org/wiki/Luisa_Garmendia); ; Manuel Bulnes (https://es.wikipedia.org/wiki/Manuel_Bulnes); ; Aníbal Pinto Garmendia (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto_Garmendia); ,https://es.wikipedia.org/wiki/Enriqueta_Pinto
Delfina de la Cruz,"24 de febrero de 1837Concepción,  Chile",,Chilena,"Primera dama; ,; pianista; y; compositora; ",,; Primera dama de la Nación – 18 de septiembre de 1876-18 de septiembre de 1881; ,,,José María de la Cruz Prieto (https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_de_la_Cruz_Prieto); Aníbal Pinto (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto); ; Francisco (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto_Cruz); ,https://es.wikipedia.org/wiki/Delfina_de_la_Cruz
Manuel Bulnes,"25 de diciembre de 1799Concepción, Capitanía General de Chile",,Chilena,Militar; y; político; ,Instituto Nacional,; Presidente de la República de Chile – 18 de septiembre de 1841-18 de septiembre de 1851; ; Senador de la República de Chile; Coelemu – 1 de marzo de 1852-18 de octubre de 1866†; ; General en Jefe; Ejército de Chile – 18 de septiembre de 1841-18 de octubre de 1866; Intendente de la provincia de Concepción – 1838-1838; ; Diputado de la República de Chile; Coelemu – 12 de agosto-31 de diciembre de 1823; ,,Partido Conservador,Manuel Bulnes Quevedo (https://es.wikipedia.org/wiki/Manuel_Bulnes_Quevedo); Enriqueta Pinto Garmendia (https://es.wikipedia.org/wiki/Enriqueta_Pinto_Garmendia); [1]; Gonzalo (https://es.wikipedia.org/wiki/Gonzalo_Bulnes_Pinto); Manuel Bulnes Pinto (https://es.wikipedia.org/wiki/Manuel_Bulnes_Pinto); Joaquín Prieto (https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Prieto); Francisco Antonio Pinto (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto); Aníbal Pinto (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto); ,https://es.wikipedia.org/wiki/Manuel_Bulnes
Francisco Rozas Mendiburú,"7 de julio de 1810Concepción, Chile",,Chilena,Político; ,,,,,Juan Inocencio Martínez de Rozas Correas (https://es.wikipedia.org/wiki/Juan_Mart%C3%ADnez_de_Rozas); ; ; Francisco Antonio Pinto (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto); ,https://es.wikipedia.org/wiki/Francisco_Rozas_Mendibur%C3%BA
Ricardo Ariztía Urmeneta,"1820 Santiago de Chile,",,Chilena,Abogado; ,,; Diputado de la República de Chile; Santiago – 1849-1852; ,,Conservador,Luisa Pinto Garmendia; ,https://es.wikipedia.org/wiki/Ricardo_Arizt%C3%ADa_Urmeneta
Manuel Bulnes Pinto,"10 de junio de 1842Santiago, Chile Chile","Santiago, Chile",Chilena,Militar; y; político; ,Colegio de los Sagrados Corazones de Santiago,; Diputado de la República de Chile; Mulchén – 1879-1 de marzo de 1882; ; Ministro de Guerra y Marina de Chile – 18 de septiembre-26 de noviembre de 1896; ,,Partido Conservador; ,Manuel Bulnes Prieto (https://es.wikipedia.org/wiki/Manuel_Bulnes_Prieto); Enriqueta Pinto Garmendia (https://es.wikipedia.org/wiki/Enriqueta_Pinto_Garmendia); ; Francisco Antonio Pinto (https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto); Aníbal Pinto Garmendia (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto_Garmendia); ,https://es.wikipedia.org/wiki/Manuel_Bulnes_Pinto
Francisco Antonio Pinto Cruz,"15 de agosto de 1858 Concepción, República de Chile",,Chileno,"Abogado; ,; político; ,; diplomático; ",,; ; Ministro Plenipotenciario de Chile en Alemania – 1902-1905; ; ; Ministro Plenipotenciario de Chile en Alemania – 5 de agosto de 1895-26 de febrero de 1897; ; Ministro de Guerra y Marina de Chile – 4 de octubre de 1892-27 de marzo de 1893; ; Ministro de Justicia e Instrucción Pública de Chile – 6 de octubre de 1893-26 de abril de 1894; ,,Partido Liberal de Chile,Aníbal Pinto Garmendia (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto_Garmendia); Delfina de la Cruz Zañartu (https://es.wikipedia.org/wiki/Delfina_de_la_Cruz_Za%C3%B1artu); ; ; Aníbal Pinto Santa Cruz (https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto_Santa_Cruz); ,https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto_Cruz
Ignacio Carrera Pinto,"5 de febrero de 1848 Santiago, Chile",Santiago,Chilena,"Arriero; ,; Militar; ",,,,,José Miguel Carrera Fontecilla (https://es.wikipedia.org/wiki/Jos%C3%A9_Miguel_Carrera_Fontecilla); ,https://es.wikipedia.org/wiki/Ignacio_Carrera_Pinto
José Ignacio Garmendia y Alurralde,1788 San Miguel de Tucumán (Argentina),,Argentina,Político; Diputado de Argentina; ,,,,,,https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Garmendia_y_Alurralde
José María de la Cruz Prieto,"25 de marzo de 1799 Concepción, Reino de Chile (Imperio Español)",,Chilena,,,Intendente de la provincia de Concepción – 1830-1831; ; Ministro de Guerra y Marina de Chile – Diego Portales; ,Infantería,Patriota,Luis De la Cruz (https://es.wikipedia.org/wiki/Luis_De_la_Cruz); ; Delfina De la Cruz Zañartu (https://es.wikipedia.org/wiki/Delfina_de_la_Cruz); ; ,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_de_la_Cruz_Prieto
Joaquín Prieto,"20 de agosto de 1786Concepción, Capitanía General de Chile","Santiago, Chile",Chilena,Militar; y; político; ,,; Presidente de la República de Chile – 18 de septiembre de 1831-18 de septiembre de 1841; ; General en Jefe; Ejército de Chile – 2 de abril de 1830-18 de septiembre de 1841; Intendente; provincia de Concepción – 1831-1831; ,,Pelucón,; Manuela Warnes y García de Zúñiga (https://es.wikipedia.org/wiki/Manuela_Warnes_y_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga); ,https://es.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_Prieto
Manuela Warnes,"13 de octubre de 1776Buenos Aires, Virreinato del Río de la Plata,  Reino de España",,Chilena y española,Primera Dama; ,,; Primera dama de Chile – 18 de septiembre de 1831-18 de septiembre de 1841; ,,,Manuel Antonio Warnes (https://es.wikipedia.org/wiki/Manuel_Antonio_Jos%C3%A9_Warnes); Ana Jacoba García de Zúñiga (https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga); José Joaquín Prieto (https://es.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_Prieto); Joaquín (https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Prieto_Warnes); ,https://es.wikipedia.org/wiki/Manuela_Warnes_y_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga
Juan Martínez de Rozas,"28 de diciembre de 1759 Mendoza, Capitanía General de Chile, Reino de España",,Chilena,Abogado; y; político; ,Real Universidad de San Felipe,; Presidente del Congreso del Reino de Chile – 4 de julio de 1811-4 de julio de 1811; ; Presidente de la Junta Gubernativa del Reino de Chile – 27 de febrero de 1811-2 de abril de 1811; ; Intendente de Concepción – 1788-1788; ,,,; [1]; Francisco Rozas Mendiburú (https://es.wikipedia.org/wiki/Francisco_Rozas_Mendibur%C3%BA); [1]; ,https://es.wikipedia.org/wiki/Juan_Mart%C3%ADnez_de_Rozas
Manuel Montt Balmaceda,13 de octubre de 1925,,Chilena,"abogado; ,; diplomático; ,; escritor; y; rector; ",Universidad de Chile,; Universidad Diego Portales – 1982-junio de 2004; Universidad Diego Portales – 2005-2007; ,,,; ; ; Marta Montt Balmaceda (https://es.wikipedia.org/wiki/Marta_Montt_Balmaceda); Lorenzo Montt Montt (https://es.wikipedia.org/wiki/Lorenzo_Montt_Montt); ,https://es.wikipedia.org/wiki/Manuel_Montt_Balmaceda
Marta Montt Balmaceda,"1 de enero de 1934Santiago, Chile",,Chilena,Modelo artístico; y; modelo; ,,,,,; ; Manuel Montt Balmaceda (https://es.wikipedia.org/wiki/Manuel_Montt_Balmaceda); ,https://es.wikipedia.org/wiki/Marta_Montt_Balmaceda
Lorenzo Montt,"6 de diciembre de 1866Santiago, Chile Chile",,Chilena,Abogado; y; político; ,,; Ministro de Justicia e Instrucción Pública de Chile – 1° de juliode 1920-23 de diciembre de 1920; ; Diputado de la República de Chile; Valparaíso; Casablanca – 1918-1920; ; Alcalde de Valparaíso – 1905-?; ,,,Ambrosio Montt Luco (https://es.wikipedia.org/wiki/Ambrosio_Montt_Luco); ; ; Ambrosio Montt Luco (https://es.wikipedia.org/wiki/Ambrosio_Montt_Luco); Manuel Montt Balmaceda (https://es.wikipedia.org/wiki/Manuel_Montt_Balmaceda); Marta Montt Balmaceda (https://es.wikipedia.org/wiki/Marta_Montt_Balmaceda); ,https://es.wikipedia.org/wiki/Lorenzo_Montt_Montt
Ambrosio Montt Luco,7 de diciembre de 1830  Santiago,,Chilena,Abogado; y; Político; ,Instituto Nacional,; Diputado de la República de Chile; Valparaíso; Casablanca – 2 de junio de 1861-2 de junio de 1870; ; Diputado de la República de Chile; Ovalle; Combarbalá; Illapel – 2 de junio de 1870-2 de junio de 1873; ; Diputado de la República de Chile; Itata; Maule – 2 de junio de 1873-2 de junio de 1879; ; Diputado de la República de Chile; Talca – 2 de junio de 1879-2 de junio de 1882; ,,Nacional,Lorenzo Montt y Pérez de Valenzuela (https://es.wikipedia.org/wiki/Lorenzo_Montt_y_P%C3%A9rez_de_Valenzuela); ; Lorenzo Montt Montt (https://es.wikipedia.org/wiki/Lorenzo_Montt_Montt); Lorenzo Montt Montt (https://es.wikipedia.org/wiki/Lorenzo_Montt_Montt); ,https://es.wikipedia.org/wiki/Ambrosio_Montt_Luco
Arturo Matte Alessandri,"15 de julio de 1924Santiago de Chile, Chile",,Chilena,Ingeniero y periodista; ,,,,,; Magdalena (https://es.wikipedia.org/wiki/Magdalena_Matte); ,https://es.wikipedia.org/wiki/Arturo_Matte_Alessandri
Magdalena Matte,"13 de agosto de 1950 (74 años)Santiago, Chile","Santiago, Chile",Chilena,"Ingeniera civil; ,; empresaria; y; política; ",; Universidad Católica de Chile,; Ministra de Vivienda y Urbanismo de Chile – 11 de marzo de 2010-19 de abril de 2011; ,,; Unión Demócrata Independiente,Arturo Matte Alessandri (https://es.wikipedia.org/wiki/Arturo_Matte_Alessandri); Hernán Larraín Fernández (https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn); Hernán (https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn_Matte); Pablo (https://es.wikipedia.org/wiki/Pablo_Larra%C3%ADn); ,https://es.wikipedia.org/wiki/Magdalena_Matte
Hernán Larraín Fernández,21 de septiembre de 1947 (77 años)Santiago (Chile),Santiago (Chile),Chilena,Abogado; y; político; ,Pontificia Universidad Católica de Chile; Derecho; Escuela de Economía y Ciencia Política de Londres; Maestría en Leyes,; Comisión Experta – 6 de marzo de 2023-7 de noviembre de 2023; ; Comisión Experta – 6 de marzo de 2023-6 de marzo de 2023; ; Ministro de Justicia y Derechos Humanos de Chile – 11 de marzo de 2018-11 de marzo de 2022; ; Presidente del Senado de Chile – 16 de marzo de 2004-11 de marzo de 2005; ; Senador de la República de Chile; Circunscripción 11; Maule Sur – 11 de marzo de 1994-11 de marzo de 2018; ; Presidente; Federación de Estudiantes de la Universidad Católica de Chile – 1969-1970; ,Derecho y política,Unión Demócrata Independiente; ,; Magdalena Matte (https://es.wikipedia.org/wiki/Magdalena_Matte); Hernán (https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn_Matte); Pablo (https://es.wikipedia.org/wiki/Pablo_Larra%C3%ADn); ,https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn
Hernán Larraín Matte,"24 de diciembre de 1974  (50 años)Santiago, Chile",,Chilena,"Abogado; ,; político; y; productor de cine; ",Universidad Finis Terrae; Derecho; Pontificia Universidad Católica de Chile; Ciencias Políticas; Escuela de Economía y Ciencia Política de Londres; Política pública,; Convención Constitucional de la República de Chile – 12 de abril de 2022-4 de julio de 2022; ; Convencional constituyentede la República de Chile; Distrito N° 11; Las Condes; Lo Barnechea; Vitacura; La Reina; Peñalolén – 4 de julio de 2021-4 de julio de 2022; ,Derecho y política,; Evolución Política; ; Renovación Nacional,Hernán Larraín (https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn_Fern%C3%A1ndez); ; Magdalena Matte (https://es.wikipedia.org/wiki/Magdalena_Matte); ; Pablo Larraín (https://es.wikipedia.org/wiki/Pablo_Larra%C3%ADn); ,https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn_Matte
Pablo Larraín,"19 de agosto de 1976  (48 años)Santiago, Chile",,Chilena,"Director de cine; ,; productor de cine; ,; productor ejecutivo; ,; guionista; ,; editor de cine; , realizador y; guionista de cine; ","Universidad de Artes, Ciencias y Comunicación; Comunicación audiovisual",,"Dirección cinematográfica, producción cinematográfica y guión cinematográfico",,Hernán Larraín (https://es.wikipedia.org/wiki/Hern%C3%A1n_Larra%C3%ADn_Fern%C3%A1ndez); ; Magdalena Matte (https://es.wikipedia.org/wiki/Magdalena_Matte); ; Antonia Zegers (https://es.wikipedia.org/wiki/Antonia_Zegers); ; ; ,https://es.wikipedia.org/wiki/Pablo_Larra%C3%ADn
José Esteban de Montt Cabrera,1709 Lima (Perú),Chile,Peruana,Militar; y; Estanciero; ,,,,,Familia Montt; ; ,https://es.wikipedia.org/wiki/José_Esteban_de_Montt_Cabrera
José Santiago Montt Irarrázaval,"14 de noviembre de 1783 Melipilla, Chile",,Chilena,Abogado; ,Real Universidad de San Felipe,; Diputado de la República de Chile; Santiago – 1837-1840; Diputado de la República de Chile; Curicó; Santa Cruz; Vichuquén – 1840-1853; Diputado de la República de Chile; Ancud; Quinchao; Castro – 1843-1846; ; Diputado convencional de Chile – 23 de julio-30 de octubre de 1822; ,,Conservador,; Santiago Montt Albano (https://es.wikipedia.org/wiki/Santiago_Montt_Albano); ; ,https://es.wikipedia.org/wiki/José_Santiago_Montt_Irarrázaval
Santiago Montt Albano,"11 de agosto de 1817 Valparaíso, Chile",,Chilena,Abogado; ,Universidad de Chile,; Diputado de la República de Chile; Santiago – 1855-1858; ,,Nacional,José Santiago Montt Irarrázaval (https://es.wikipedia.org/wiki/Jos%C3%A9_Santiago_Montt_Irarr%C3%A1zaval); ; ,https://es.wikipedia.org/wiki/Santiago_Montt_Albano
José Anacleto Montt Goyenechea,"1802 Valparaíso, Reino de Chile",,Chilena,Abogado; ,Instituto Nacional,; Diputado de la República de Chile; Santiago – 1852-1855; ,,,; ; ,https://es.wikipedia.org/wiki/José_Anacleto_Montt_Goyenechea
Rosario Montt,1827,,Chilena,Primera dama; ,,; Primera dama de Chile – 18 de septiembre de 1851-18 de septiembre de 1861; ,,,Familia Gallo Goyenechea; ; Manuel Montt (https://es.wikipedia.org/wiki/Manuel_Montt); ; Pedro Montt (https://es.wikipedia.org/wiki/Pedro_Montt); Luis Montt Montt (https://es.wikipedia.org/wiki/Luis_Montt_Montt); Alberto Montt Montt (https://es.wikipedia.org/wiki/Alberto_Montt_Montt); Enrique Montt Montt (https://es.wikipedia.org/wiki/Enrique_Montt_Montt); ; ,https://es.wikipedia.org/wiki/Rosario_Montt
Manuel Montt,"4 de septiembre de 1809 Petorca, Capitanía General de Chile, Imperio Español",,Chilena,Abogado; y; político; ,; Instituto Nacional,"; Presidente de la República de Chile – 18 de septiembre de 1851-18 de septiembre de 1861; ; Presidente de la Corte Suprema de Chile – 1861-1880; ; Presidente de la Cámara de Diputados de Chile – 7 de octubre de 1846-29 de mayo de 1849; ; Rector del Instituto Nacional de Chile – 1835-1840; ; Ministro de Interior y  Relaciones Exteriores de Chile – 1845-1846; ; Ministro de Justicia, Culto e Instrucción Pública de Chile – 1841-1845; ",,Conservador; Partido Nacional,Familia Montt; ; ; Rosario Montt Goyenechea (https://es.wikipedia.org/wiki/Rosario_Montt_Goyenechea); Pedro (https://es.wikipedia.org/wiki/Pedro_Montt); Luis (https://es.wikipedia.org/wiki/Luis_Montt_Montt); Alberto (https://es.wikipedia.org/wiki/Alberto_Montt_Montt); Enrique (https://es.wikipedia.org/wiki/Enrique_Montt_Montt); Manuel Montt Lehuedé (https://es.wikipedia.org/wiki/Manuel_Montt_Lehued%C3%A9); Luis Montt Dubournais (https://es.wikipedia.org/wiki/Luis_Montt_Dubournais); ,https://es.wikipedia.org/wiki/Manuel_Montt
Pedro Montt,"29 de junio de 1849Santiago, Chile","Santiago, Chile",Chilena,Político; y; abogado; ,Universidad de Chile; Instituto Nacional,; Presidente de la República de Chile – 18 de septiembre de 1906-16 de agosto de 1910†; ; Presidente de la Cámara de Diputados de Chile – 14 de octubre de 1899-15 de mayo de 1900; ; Ministro del Interior de Chile – 1893-26 de abril de 1894; ; Ministro de Hacienda de Chile – 23 de octubre de 1889-21 de enero de 1890; ; Ministro de Industrias y Obras Públicas de Chile – 21 de junio de 1887-1 de mayo de 1889; ; Ministro de Justicia e; Instrucción Pública de Chile – 1886-18 de septiembre de 1886; ; Senador de la República de Chile; Cautín – 1 de junio de 1900-1 de junio de 1906; ; Diputado de la República de Chile; Petorca – 1 de junio de 1879-1 de junio de 1900; ,,Partido Nacional,Manuel Montt (https://es.wikipedia.org/wiki/Manuel_Montt); ; Rosario Montt Goyenechea (https://es.wikipedia.org/wiki/Rosario_Montt); ; Sara del Campo Yávar (https://es.wikipedia.org/wiki/Sara_del_Campo_Y%C3%A1var); Luis (https://es.wikipedia.org/wiki/Luis_Montt_Montt); Enrique Julio Montt Montt (https://es.wikipedia.org/wiki/Enrique_Montt_Montt); ,https://es.wikipedia.org/wiki/Pedro_Montt
Luis Montt Montt,18 de abril de 1848,"Santiago, Chile",Chilena,Abogado; y; político; ,Universidad de Chile; Instituto Nacional,; Diputado suplente de la República de Chile; Lautaro – 1 de junio de 1876-1 de junio de 1879; ,,Partido Nacional,Manuel Montt (https://es.wikipedia.org/wiki/Manuel_Montt); ; Rosario Montt Goyenechea (https://es.wikipedia.org/wiki/Rosario_Montt); ; ; Manuel (https://es.wikipedia.org/wiki/Manuel_Montt_Lehued%C3%A9); Pedro (https://es.wikipedia.org/wiki/Pedro_Montt); Enrique Montt Montt (https://es.wikipedia.org/wiki/Enrique_Montt_Montt); ,https://es.wikipedia.org/wiki/Luis_Montt_Montt
Alberto Montt Montt,"1860 Santiago, Chile",,Chilena,Abogado; ,Universidad de Chile,; Diputado de la República; Temuco; Imperial – 1891-1894; ; Diputado de la República; Talca – 1888-1891; ,,Partido Liberal,Manuel Montt (https://es.wikipedia.org/wiki/Manuel_Montt); ; Rosario Montt Goyenechea (https://es.wikipedia.org/wiki/Rosario_Montt); ; ; ,https://es.wikipedia.org/wiki/Alberto_Montt_Montt
Enrique Montt Montt,"20 de diciembre de 1861 Santiago, Chile","Santiago, Chile",Chilena,"Abogado; ,; escritor; y; político; ",Universidad de Chile,; Diputado de la República de Chile; Valdivia; La Unión – 1 de junio de 1891-1 de junio de 1893; ,,; Liberal,Manuel Montt Torres (https://es.wikipedia.org/wiki/Manuel_Montt); Rosario Montt Goyenechea (https://es.wikipedia.org/wiki/Rosario_Montt_Goyenechea); ; Luis (https://es.wikipedia.org/wiki/Luis_Montt_Montt); Pedro Montt (https://es.wikipedia.org/wiki/Pedro_Montt); ,https://es.wikipedia.org/wiki/Enrique_Montt_Montt
Manuel Montt Lehuedé,"9 de septiembre de 1904Santiago, Chile","Santiago, Chile",Chilena,Abogado; y; político; ,Universidad de Chile; Facultad de Derecho de la Universidad de Chile,; Diputado de la República de Chile; 15.ª Agrupación Departamental; Itata; San Carlos – 15 de mayo de 1941-15 de mayo de 1949; ; Secretario general; Partido Liberal – 1932-1941; ,,; Partido Liberal,Luis Montt Montt (https://es.wikipedia.org/wiki/Luis_Montt_Montt); ; Luis (https://es.wikipedia.org/wiki/Luis_Montt_Dubournais); Manuel Montt Torres (https://es.wikipedia.org/wiki/Manuel_Montt_Torres); ,https://es.wikipedia.org/wiki/Manuel_Montt_Lehued%C3%A9
Luis Montt Dubournais,"27 de agosto de 1945Santiago, Chile Chile","Santiago, Chile",Chilena,Abogado; y; político; ,Universidad de Chile,; Alcalde de La Reina – 6 de diciembre de 2004-6 de diciembre de 2012; ; Concejal de La Reina – 6 de diciembre de 2000-6 de diciembre de 2004; ,,; Renovación Nacional,Manuel Montt Lehuedé (https://es.wikipedia.org/wiki/Manuel_Montt_Lehued%C3%A9); ; ; Manuel Montt Torres (https://es.wikipedia.org/wiki/Manuel_Montt_Torres); Isidoro Dubournais (https://es.wikipedia.org/wiki/Isidoro_Dubournais); ,https://es.wikipedia.org/wiki/Luis_Montt_Dubournais
Lorenzo Montt y Pérez de Valenzuela,"1784 Casablanca, Reino de Chile, Imperio español",,,Agricultor; y; Político; ,,; Diputado en laAsamblea Provincial de Santiago; Casablanca – 29 de marzo de 1823-3 de abril de 1833; ,,,; ; Ambrosio Montt Luco (https://es.wikipedia.org/wiki/Ambrosio_Montt_Luco); ,https://es.wikipedia.org/wiki/Lorenzo_Montt_y_Pérez_de_Valenzuela
Ismael Pérez Montt,1847Santiago,,Chilena,abogado; y; político; Diputado de Chile; Senador de Chile; ,Universidad de Chile,,,,Juan José Pérez Vergara (https://es.wikipedia.org/wiki/Juan_Jos%C3%A9_P%C3%A9rez_Vergara); ; ,https://es.wikipedia.org/wiki/Ismael_Pérez_Montt
Juan José Pérez Vergara,"18 de septiembre de 1815 Santiago de Chile, Chile",,Chilena,Hacendado; ,,; Senador de la República de Chile; Valdivia – 1852-1870; ; Diputado de la República de Chile; Valparaíso – 1858-1861; ,,Nacional,; Ismael Pérez Montt (https://es.wikipedia.org/wiki/Ismael_P%C3%A9rez_Montt); ,https://es.wikipedia.org/wiki/Juan_Jos%C3%A9_P%C3%A9rez_Vergara
Julio Montt Salamanca,29 de septiembre de 1861 Valparaíso (Chile),,Chilena,Soldado; ,Escuela Militar del Libertador Bernardo O'Higgins,,,,; ,https://es.wikipedia.org/wiki/Julio_Montt_Salamanca
Eugenio Guzmán Montt,"24 de junio de 1875 Santiago, Chile",,Chilena,"Abogado; ,; Diplomático; y; Agricultor; ",Colegio de los Sagrados Corazones de Santiago; Instituto Nacional,,,,; ; ,https://es.wikipedia.org/wiki/Eugenio_Guzmán_Montt
José Eugenio Guzmán Irarrázaval,6 de septiembre de 1841 Talca (Chile),Santiago de Chile,Chilena,Agricultor vitivinícola; ,Instituto Nacional,; Senador (s) de la República de Chile – 1900-1906; ,,Partido Liberal,José Manuel Guzmán Echeverría (https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Guzm%C3%A1n_Echeverr%C3%ADa); ; Eugenio (https://es.wikipedia.org/wiki/Eugenio_Guzm%C3%A1n_Montt); Roberto (https://es.wikipedia.org/wiki/Roberto_Guzm%C3%A1n_Montt); Jorge Guzmán Montt (https://es.wikipedia.org/wiki/Jorge_Guzm%C3%A1n_Montt); ,https://es.wikipedia.org/wiki/José_Eugenio_Guzmán_Irarrázaval
José Manuel Guzmán Echeverría,"26 de enero de 1809Santiago,  Capitanía General de Chile",Quillota y Santiago de Chile,Chilena,Político; y; Agricultor; ,,; Senador de la República de Chile – 1861-1870; ; Diputado de la República de Chile; Quillota – 1858-1861; ,,Conservador,Diego Guzmán Ibáñez; ; José Eugenio (https://es.wikipedia.org/wiki/Jos%C3%A9_Eugenio_Guzm%C3%A1n_Irarr%C3%A1zaval); ,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Guzm%C3%A1n_Echeverr%C3%ADa
Roberto Guzmán Montt,"8 de junio de 1876 , Santiago de Chile",,Chilena,Político; y; abogado; Diputado de Chile; ,Colegio de los Sagrados Corazones de Santiago; Instituto Nacional,,,,José Eugenio Guzmán Irarrázaval (https://es.wikipedia.org/wiki/Jos%C3%A9_Eugenio_Guzm%C3%A1n_Irarr%C3%A1zaval); ; Pedro Montt Montt (https://es.wikipedia.org/wiki/Pedro_Montt_Montt); Manuel Montt (https://es.wikipedia.org/wiki/Manuel_Montt); ,https://es.wikipedia.org/wiki/Roberto_Guzm%C3%A1n_Montt
Jorge Guzmán Montt,"2 de febrero de 1879 Santiago, Chile",,Chilena,político; y; abogado; ,Universidad de Chile; Instituto Nacional; Colegio San Ignacio; Colegio de los Sagrados Corazones de Santiago,Diputado de la República de Chile; Quillota; Limache – 1912-1921; ,,Nacional,José Eugenio Guzmán Irarrázaval (https://es.wikipedia.org/wiki/Jos%C3%A9_Eugenio_Guzm%C3%A1n_Irarr%C3%A1zaval); ; ,https://es.wikipedia.org/wiki/Jorge_Guzm%C3%A1n_Montt
Alberto Cruz Montt,1879Valparaíso,,Chilena,Arquitecto; y; profesor universitario; ,,,Arquitectura,,Familia Montt; ; ,https://es.wikipedia.org/wiki/Alberto_Cruz_Montt
Cristina Montt,"10 de mayo de 1895 Talcahuano, Chile",,Chilena,Actriz; ,,,,,Familia Montt; ; ; Julio Eduardo Martínez Montt; ,https://es.wikipedia.org/wiki/Cristina_Montt
Teresa Wilms Montt,"8 de septiembre de 1893 Viña del Mar, Chile",,chilena,"escritora; ,; anarquista; ",,,,,Familia Montt; ; ; ; ; ,https://es.wikipedia.org/wiki/Teresa_Wilms_Montt
Julio Montt,"27 de abril de 1926Osorno, Chile","Osorno/Santiago, Chile",Chilena,Médico; y; político; ,Escuela Militar del Libertador Bernardo O'Higgins; Universidad de Chile,; Concejal; Las Condes – 6 de diciembre de 2000-6 de diciembre de 2004; ; Ministro de Salud de Chile – 30 de octubre de 1992-11 de marzo de 1994; ; Diputado de la República de Chile; 23.ª Agrupación Departamental; Osorno; Río Negro – 15 de mayo de 1965-21 de septiembre de 1973[notas 1]​; ; Regidor; Osorno – 1963-1965; ,,; Partido Demócrata Cristiano; ; Falange Nacional,; ; Julio (https://es.wikipedia.org/wiki/Julio_Montt_Vidal); Francisco Vidal Salinas (https://es.wikipedia.org/wiki/Francisco_Vidal_Salinas); ,https://es.wikipedia.org/wiki/Julio_Montt
Julio Montt Vidal,1954 (67-68 años),,Chilena,Médico cirujano; y; político; ,Universidad de Chile,Hospital Dr. Luis Tisné Brousse – Desde el 11 de marzo de 2010; ; Subsecretario de Redes Asistenciales de Chile – 6 de noviembre de 2008-11 de marzo de 2010; Hospital Dr. Luis Calvo Mackenna – noviembre de 1992-septiembre de 1995;  – 11 de marzo de 1990-noviembre de 1992; ,,Partido Demócrata Cristiano,Julio Montt Momberg (https://es.wikipedia.org/wiki/Julio_Montt_Momberg); Francisco Vidal Salinas (https://es.wikipedia.org/wiki/Francisco_Vidal_Salinas); ,https://es.wikipedia.org/wiki/Julio_Montt_Vidal
